,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos,idps_avg19992014
1032,17:15:15,Valle,40,100.0, 40,Restrepo,59.15,2574.0,10.0,40.84,1777.0,http://plebiscito.registraduria.gov.co/99PL/DPL31085ZZZZZZZZZZZZ_L1.htm,29.82,4447.0,14911.0,1,58,4.351,34.3125
1033,17:15:15,Valle,40,100.0, 40,Restrepo,59.15,2574.0,10.0,40.84,1777.0,http://plebiscito.registraduria.gov.co/99PL/DPL31085ZZZZZZZZZZZZ_L1.htm,29.82,4447.0,14911.0,1,58,4.351,30.8125
1034,16:45:15,Meta,19,100.0, 19,San Carlos De Guaroa,67.0,2394.0,7.0,32.99,1179.0,http://plebiscito.registraduria.gov.co/99PL/DPL52055ZZZZZZZZZZZZ_L1.htm,47.06,3654.0,7764.0,3,59,3.573,26.25
1035,16:55:15,Meta,17,100.0, 17,San Juan De Arama,52.2,1162.0,7.0,47.79,1064.0,http://plebiscito.registraduria.gov.co/99PL/DPL52058ZZZZZZZZZZZZ_L1.htm,38.21,2292.0,5998.0,6,48,2.226,258.875
1036,16:30:15,Meta,6,100.0, 6,San Juanito,45.97,263.0,5.0,54.02,309.0,http://plebiscito.registraduria.gov.co/99PL/DPL52059ZZZZZZZZZZZZ_L1.htm,46.39,586.0,1263.0,,8,572,14.5714285714
1037,16:50:15,Meta,12,100.0, 12,Uribe,6.43,140.0,7.0,93.56,2036.0,http://plebiscito.registraduria.gov.co/99PL/DPL52074ZZZZZZZZZZZZ_L1.htm,46.86,2214.0,4724.0,6,14,2.176,188.866666667
1038,17:30:15,Meta,786,100.0, 786,Villavicencio,64.03,100830.0,14.0,35.96,56633.0,http://plebiscito.registraduria.gov.co/99PL/DPL52001ZZZZZZZZZZZZ_L1.htm,46.49,159620.0,343296.0,463,1.757,157.463,4142.125
1039,16:50:15,Meta,30,100.0, 30,Vista Hermosa,47.11,2310.0,7.0,52.88,2593.0,http://plebiscito.registraduria.gov.co/99PL/DPL52080ZZZZZZZZZZZZ_L1.htm,42.27,5103.0,12070.0,3,126,4.903,526.375
1040,16:50:15,Nariño,14,100.0, 14,Aldana,49.41,1268.0,5.0,50.58,1298.0,http://plebiscito.registraduria.gov.co/99PL/DPL23007ZZZZZZZZZZZZ_L1.htm,46.14,2656.0,5756.0,6,52,2.566,3.4
1041,16:40:15,Nariño,22,100.0, 22,Ancuya,27.26,631.0,6.0,72.73,1683.0,http://plebiscito.registraduria.gov.co/99PL/DPL23010ZZZZZZZZZZZZ_L1.htm,32.9,2381.0,7235.0,4,35,2.314,24.125
1042,19:25:15,Nariño,65,100.0, 65,Barbacoas,25.17,1063.0,18.0,74.82,3159.0,http://plebiscito.registraduria.gov.co/99PL/DPL23016ZZZZZZZZZZZZ_L1.htm,20.9,4361.0,20859.0,2,63,4.222,888.5
1043,17:00:15,Nariño,42,100.0, 42,Buesaco,49.94,2914.0,9.0,50.05,2921.0,http://plebiscito.registraduria.gov.co/99PL/DPL23019ZZZZZZZZZZZZ_L1.htm,35.61,6029.0,16930.0,5,109,5.835,69.4375
1044,16:50:15,Nariño,26,100.0, 26,Chachagui,37.51,1427.0,8.0,62.48,2377.0,http://plebiscito.registraduria.gov.co/99PL/DPL23038ZZZZZZZZZZZZ_L1.htm,40.97,3897.0,9510.0,4,50,3.804,40.375
1045,17:15:15,Nariño,28,100.0, 28,Consaca,42.13,1434.0,8.0,57.86,1969.0,http://plebiscito.registraduria.gov.co/99PL/DPL23025ZZZZZZZZZZZZ_L1.htm,41.67,3541.0,8497.0,3,83,3.403,58.75
1046,16:50:15,Nariño,16,100.0, 16,Contadero,46.57,903.0,7.0,53.42,1036.0,http://plebiscito.registraduria.gov.co/99PL/DPL23028ZZZZZZZZZZZZ_L1.htm,35.84,1987.0,5544.0,9,25,1.939,9.0
1047,19:50:15,Nariño,55,100.0, 55,Cumbal,36.26,3085.0,10.0,63.73,5421.0,http://plebiscito.registraduria.gov.co/99PL/DPL23037ZZZZZZZZZZZZ_L1.htm,37.82,8853.0,23407.0,6,216,8.506,72.875
1048,16:55:15,Nariño,19,100.0, 19,Cumbitara,12.36,299.0,7.0,87.63,2119.0,http://plebiscito.registraduria.gov.co/99PL/DPL23039ZZZZZZZZZZZZ_L1.htm,39.69,2462.0,6203.0,8,25,2.418,270.875
